id,text
001.jpeg,CERTIFICATE
001.jpeg,INTERNSHIP
001.jpeg,We
001.jpeg,present
001.jpeg,this
001.jpeg,certificate
001.jpeg,to
001.jpeg,Harumi
001.jpeg,Kobayashi
001.jpeg,in
001.jpeg,appreciation
001.jpeg,for
001.jpeg,your
001.jpeg,successful
001.jpeg,work
001.jpeg,as
001.jpeg,an
001.jpeg,intern
001.jpeg,at
001.jpeg,Studio
001.jpeg,Shodwe.
001.jpeg,The
001.jpeg,internship
001.jpeg,was
001.jpeg,conducted
001.jpeg,between
001.jpeg,Il
001.jpeg,"July,"
001.jpeg,2023
001.jpeg,and
001.jpeg,11
001.jpeg,"September,"
001.jpeg,2023.
001.jpeg,20
001.jpeg,"September,"
001.jpeg,2023
001.jpeg,Director
001.jpeg, 
002.jpeg,Certificate
002.jpeg,no:
002.jpeg,U
002.jpeg,a
002.jpeg,e
002.jpeg,my
002.jpeg,Certificate
002.jpeg,url:
002.jpeg,Reference
002.jpeg,Number:
002.jpeg,0004
002.jpeg,CERTIFICATE
002.jpeg,OF
002.jpeg,COMPLETION
002.jpeg,Data
002.jpeg,Modeling
002.jpeg,and
002.jpeg,Relational
002.jpeg,Database
002.jpeg,Design
002.jpeg,using
002.jpeg,ERwin
002.jpeg,Instructors
002.jpeg,Haris
002.jpeg,Kilikotu
002.jpeg,Priyanshu
002.jpeg,Singh
002.jpeg,Date
002.jpeg,Feb.
002.jpeg,"28,"
002.jpeg,2022
002.jpeg,Length
002.jpeg,3.5
002.jpeg,total
002.jpeg,hours
003.jpeg,"Ko,"
003.jpeg,SOMAIYA
003.jpeg,|
003.jpeg,T
003.jpeg,The
003.jpeg,Institution
003.jpeg,of
003.jpeg,VIDYAVIHAR
003.jpeg,Engineering
003.jpeg,and
003.jpeg,Technology
003.jpeg,eS
003.jpeg,oN
003.jpeg,ey
003.jpeg,Somaiya
003.jpeg,Institute
003.jpeg,of
003.jpeg,Technology
003.jpeg,Participation
003.jpeg,Certificate
003.jpeg,Zil
003.jpeg,Jani
003.jpeg,has
003.jpeg,participated
003.jpeg,in
003.jpeg,National
003.jpeg,Level
003.jpeg,Poster
003.jpeg,cum
003.jpeg,Project
003.jpeg,Competition
003.jpeg,“KJSIT-IET-INTECH
003.jpeg,2K23”
003.jpeg,organized
003.jpeg,by
003.jpeg,K
003.jpeg,J
003.jpeg,Somaiya
003.jpeg,Institute
003.jpeg,of
003.jpeg,"Technology,"
003.jpeg,"Sion,"
003.jpeg,Mumbai
003.jpeg,in
003.jpeg,association
003.jpeg,with
003.jpeg,The
003.jpeg,Institution
003.jpeg,of
003.jpeg,Engineering
003.jpeg,and
003.jpeg,"Technology,"
003.jpeg,Mumbai
003.jpeg,Local
003.jpeg,Network
003.jpeg, 
003.jpeg,on
003.jpeg,March
003.jpeg,"25,"
003.jpeg,2023
003.jpeg,Mr.
003.jpeg,Vikrant
003.jpeg,Sankhe
003.jpeg,Dr.
003.jpeg,Sunita
003.jpeg,Patil
003.jpeg,Dr.
003.jpeg,Suresh
003.jpeg,Ukarande
003.jpeg,"Chairman,"
003.jpeg,IET
003.jpeg,Mumbai
003.jpeg,LN
003.jpeg,Vice
003.jpeg,"Principal,"
003.jpeg,KJSIEIT
003.jpeg,"Principal,"
003.jpeg,KJSIEIT
003.jpeg, 
004.jpeg, 
004.jpeg, 
004.jpeg, 
004.jpeg, 
004.jpeg,©DeepLearning.Al
004.jpeg,|
004.jpeg,Apr
004.jpeg,"15,"
004.jpeg,2021
004.jpeg,Priyanshu
004.jpeg,Singh
004.jpeg,has
004.jpeg,successfully
004.jpeg,completed
004.jpeg,Al
004.jpeg,For
004.jpeg,Everyone
004.jpeg,an
004.jpeg,online
004.jpeg,non-credit
004.jpeg,course
004.jpeg,authorized
004.jpeg,by
004.jpeg,DeepLearning.Al
004.jpeg,and
004.jpeg,offered
004.jpeg,through
004.jpeg,Coursera
004.jpeg, 
004.jpeg, 
004.jpeg, 
004.jpeg,Sey
004.jpeg,"Founder,"
004.jpeg,DeepLeamning
004.jpeg,Al
004.jpeg,"Co-founder,"
004.jpeg,Coursera
004.jpeg,Verify
004.jpeg,at
004.jpeg,coursera.
004.jpeg,org/verify/VHDUECBRSK86
