id,text,tag
001.jpeg,CERTIFICATE,B-TYP
001.jpeg,INTERNSHIP,I-TYP
001.jpeg,We,B-DES
001.jpeg,present,I-DES
001.jpeg,this,I-DES
001.jpeg,certificate,I-DES
001.jpeg,to,I-DES
001.jpeg,Harumi,B-STU
001.jpeg,Kobayashi,I-STU
001.jpeg,in,B-DES
001.jpeg,appreciation,I-DES
001.jpeg,for,I-DES
001.jpeg,your,I-DES
001.jpeg,successful,I-DES
001.jpeg,work,I-DES
001.jpeg,as,I-DES
001.jpeg,an,I-DES
001.jpeg,intern,I-DES
001.jpeg,at,I-DES
001.jpeg,Studio,B-COI
001.jpeg,Shodwe.,I-COI
001.jpeg,The,B-DES
001.jpeg,internship,I-DES
001.jpeg,was,I-DES
001.jpeg,conducted,I-DES
001.jpeg,between,I-DES
001.jpeg,Il,B-DAT
001.jpeg,"July,",I-DAT
001.jpeg,2023,I-DAT
001.jpeg,and,I-DAT
001.jpeg,11,I-DAT
001.jpeg,"September,",I-DAT
001.jpeg,2023,I-DAT
001.jpeg,20,I-DAT
001.jpeg,"September,",I-DAT
001.jpeg,2023,I-DAT
001.jpeg,Director,O
001.jpeg,,O
002.jpeg,Certificate,B-DES
002.jpeg,no:,I-DES
002.jpeg,U,I-DES
002.jpeg,a,I-DES
002.jpeg,e,I-DES
002.jpeg,my,I-DES
002.jpeg,Certificate,I-DES
002.jpeg,url:,I-DES
002.jpeg,Reference,I-DES
002.jpeg,Number:,I-DES
002.jpeg,4,I-DES
002.jpeg,CERTIFICATE,B-TYP
002.jpeg,OF,I-TYP
002.jpeg,COMPLETION,I-TYP
002.jpeg,Data,B-DES
002.jpeg,Modeling,I-DES
002.jpeg,and,I-DES
002.jpeg,Relational,I-DES
002.jpeg,Database,I-DES
002.jpeg,Design,I-DES
002.jpeg,using,I-DES
002.jpeg,ERwin,I-DES
002.jpeg,Instructors,I-DES
002.jpeg,Haris,I-DES
002.jpeg,Kilikotu,I-DES
002.jpeg,Priyanshu,B-STU
002.jpeg,Singh,I-STU
002.jpeg,Date,B-DAT
002.jpeg,Feb.,I-DAT
002.jpeg,"28,",I-DAT
002.jpeg,2022,I-DAT
002.jpeg,Length,B-DES
002.jpeg,3.5,I-DES
002.jpeg,total,I-DES
002.jpeg,hours,I-DES
003.jpeg,"Ko,",I-DES
003.jpeg,SOMAIYA,I-DES
003.jpeg,|,I-DES
003.jpeg,T,I-DES
003.jpeg,The,I-DES
003.jpeg,Institution,I-DES
003.jpeg,of,I-DES
003.jpeg,VIDYAVIHAR,I-DES
003.jpeg,Engineering,I-DES
003.jpeg,and,I-DES
003.jpeg,Technology,I-DES
003.jpeg,eS,I-DES
003.jpeg,oN,I-DES
003.jpeg,ey,I-DES
003.jpeg,Somaiya,I-DES
003.jpeg,Institute,I-DES
003.jpeg,of,I-DES
003.jpeg,Technology,I-DES
003.jpeg,Participation,B-TYP
003.jpeg,Certificate,I-TYP
003.jpeg,Zil,B-STU
003.jpeg,Jani,I-STU
003.jpeg,has,B-DES
003.jpeg,participated,I-DES
003.jpeg,in,I-DES
003.jpeg,National,I-DES
003.jpeg,Level,I-DES
003.jpeg,Poster,I-DES
003.jpeg,cum,I-DES
003.jpeg,Project,I-DES
003.jpeg,Competition,I-DES
003.jpeg,“KJSIT-IET-INTECH,I-DES
003.jpeg,2K23”,I-DES
003.jpeg,organized,I-DES
003.jpeg,by,I-DES
003.jpeg,K,I-DES
003.jpeg,J,I-DES
003.jpeg,Somaiya,I-DES
003.jpeg,Institute,I-DES
003.jpeg,of,I-DES
003.jpeg,"Technology,",I-DES
003.jpeg,"Sion,",I-DES
003.jpeg,Mumbai,I-DES
